,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price
1877,Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2017,1.6,20000,False,41000
1878,Taurus,Dammam,Ford,Automatic,Other,Semi Full,2016,3.5,108000,False,79000
1880,Sentra,Riyadh,Nissan,Automatic,Saudi,Standard,2017,1.6,50700,False,37000
1881,Yaris,Tabouk,Toyota,Automatic,Saudi,Standard,2017,1.5,12500,False,32000
1884,Yaris,Dammam,Toyota,Automatic,Saudi,Standard,2016,1.5,119000,False,32000
1885,Symbol,Riyadh,Renault,Automatic,Saudi,Standard,2016,1.6,173000,False,16000
1886,Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,161796,False,54500
1888,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,89685,False,34500
1889,Q,Riyadh,INFINITI,Automatic,Saudi,Full,2019,3.5,5000,False,90500
1891,Sierra,Khobar,GMC,Automatic,Saudi,Full,2021,8.0,2800,False,180000
1892,Optima,Jeddah,Kia,Automatic,Saudi,Standard,2015,2.0,72000,False,43000
1895,Yukon,Riyadh,GMC,Automatic,Saudi,Standard,2017,4.0,107,False,125000
1897,Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2015,1.4,181802,False,25500
1898,3,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,1.8,23000,False,55000
1900,Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Standard,2013,5.3,300000,False,48000
1906,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,200000,False,42000
1907,Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,73000,False,45000
1908,Cadenza,Riyadh,Kia,Automatic,Saudi,Standard,2017,3.3,83000,False,50000
1909,Innova,Hafar Al-Batin,Toyota,Automatic,Saudi,Standard,2008,2.7,90000,False,20000
1910,Prado,Hafar Al-Batin,Toyota,Automatic,Gulf Arabic,Semi Full,2017,1.0,95000,False,130000
1912,Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2018,2.0,71000,False,65000
1914,Ertiga,Al-Medina,Suzuki,Automatic,Saudi,Semi Full,2015,1.8,168000,False,22000
1916,Hilux,Riyadh,Toyota,Manual,Saudi,Full,2016,2.7,320000,False,65000
1917,Cerato,Jeddah,Kia,Automatic,Saudi,Semi Full,2016,1.6,112000,False,30000
1918,Sorento,Al-Ahsa,Kia,Automatic,Saudi,Semi Full,2015,6.0,171000,False,45000
1920,S,Aseer,Mercedes,Automatic,Saudi,Full,2008,1.0,190,False,65000
1927,Cerato,Dammam,Kia,Automatic,Saudi,Standard,2017,1.6,132700,False,29000
1928,Yukon,Aseer,GMC,Automatic,Saudi,Standard,2008,5.3,235000,False,40000
1929,Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,58000,False,151000
1930,RX5,Abha,MG,Automatic,Saudi,Full,2020,2.0,4500,False,65000
1931,Optima,Riyadh,Kia,Automatic,Gulf Arabic,Full,2015,2.4,79680,False,49000
1933,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,87537,False,26800
1937,Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,131000,False,35000
1938,Sentra,Riyadh,Nissan,Automatic,Saudi,Semi Full,2014,1.4,165000,False,18500
1940,Camry,Tabouk,Toyota,Automatic,Saudi,Standard,2017,2.5,120,False,55000
1941,Pilot,Dammam,Honda,Automatic,Other,Semi Full,2005,6.0,4130,False,15000
1943,RX,Dammam,Lexus,Automatic,Saudi,Full,2016,3.5,121000,False,130000
1944,CT6,Riyadh,Cadillac,Automatic,Saudi,Full,2018,3.6,27000,False,150000
1947,Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,109746,False,34000
1953,Sportage,Dammam,Kia,Automatic,Saudi,Semi Full,2018,2.0,128000,False,60000
1956,X,Riyadh,BMW,Automatic,Other,Full,2011,3.0,290,False,48000
1958,Hilux,Arar,Toyota,Manual,Saudi,Full,2018,2.7,35000,False,85000
1959,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,183000,False,27000
1961,Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2015,1.6,36000,False,45000
1962,Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,62000,False,55000
1964,Patrol,Dammam,Nissan,Automatic,Saudi,Full,2014,5.6,106000,False,135000
1966,Cruze,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,1.8,101000,False,30000
1969,Elantra,Jeddah,Hyundai,Automatic,Saudi,Full,2015,2.0,270000,False,27000
1970,F150,Qassim,Ford,Automatic,Saudi,Full,2014,3.2,200000,False,58000
1975,Grand Cherokee,Jeddah,Jeep,Automatic,Saudi,Full,2014,5.8,270000,False,60000
1976,Sierra,Tabouk,GMC,Automatic,Saudi,Full,2015,5.3,272,False,70000
1977,ES,Tabouk,Lexus,Automatic,Saudi,Full,2013,3.6,137000,False,90000
1978,Land Cruiser,Qassim,Toyota,Manual,Gulf Arabic,Semi Full,2007,4.6,315,False,60000
1979,Other,Al-Medina,Mitsubishi,Manual,Saudi,Standard,2006,2.5,140000,False,45000
1980,C300,Dammam,Chrysler,Automatic,Other,Full,2016,3.5,83000,False,86000
1981,Prado,Qassim,Toyota,Automatic,Saudi,Semi Full,2018,4.0,131000,False,137000
1982,Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2018,3.5,44000,False,96000
1983,Taurus,Dammam,Ford,Automatic,Saudi,Standard,2019,2.0,60000,False,78000
1984,Yaris,Dammam,Toyota,Automatic,Saudi,Standard,2019,1.5,61000,False,38000
1985,Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,109000,False,31000
1989,Camry,Al-Medina,Toyota,Automatic,Missing,Full,2020,2.5,10616,False,104500
1990,Altima,Riyadh,Nissan,Automatic,Gulf Arabic,Semi Full,2018,2.5,48096,False,68000
1992,Escalade,Al-Medina,Cadillac,Automatic,Other,Full,2010,6.2,194000,False,37000
1993,Silverado,Dammam,Chevrolet,Automatic,Saudi,Standard,2018,5.3,57000,False,89000
